DateTime,Open,High,Low,Close,Volume_(BTC)
2011-12-31,4.39,4.58,4.39,4.58,95.3178781
2012-01-01,4.58,5.0,4.58,5.0,21.602
2012-01-02,5.0,5.0,5.0,5.0,19.048
2012-01-03,5.32,5.32,5.14,5.29,88.03728092
2012-01-04,4.93,5.57,4.93,5.57,107.23326023000001
2012-01-05,5.72,6.65,5.72,6.65,94.80182926
2012-01-06,6.65,6.9,6.0,6.0,33.88274671
2012-01-07,6.8,6.8,6.8,6.8,0.29585799
2012-01-08,6.9,7.0,6.9,7.0,5.0
2012-01-09,6.99,6.99,6.23,6.3,66.8693229
2012-01-10,6.24,7.14,6.24,7.14,62.28998018
2012-01-11,7.14,7.33,6.25,7.0,105.35893401999999
2012-01-12,6.95,7.38,6.51,6.51,82.30163181
2012-01-13,6.8,7.36,6.6,6.6,48.970144839999996
2012-01-14,6.5,6.5,6.3,6.3,16.836
2012-01-15,7.15,7.15,7.15,7.15,16.6993007
2012-01-16,6.2,7.1,6.2,7.1,12.64929577
2012-01-17,6.5,6.9,6.0,6.0,80.51400824000001
2012-01-18,5.99,7.1,5.99,7.1,133.44676912
2012-01-19,5.52,7.0,5.52,6.22,246.71581895
2012-01-20,6.9,6.95,6.55,6.95,95.82599863
2012-01-21,6.3,6.77,6.28,6.77,81.41385241
2012-01-22,6.79,6.83,6.03,6.79,81.27103303
2012-01-23,6.5,6.52,6.0,6.52,94.92062908999999
2012-01-24,6.52,6.57,6.0,6.55,85.44624147
2012-01-25,6.26,6.86,6.0,6.31,81.1232564
2012-01-26,6.27,6.3,5.5,5.5,29.91907058
2012-01-27,3.8,6.03,3.8,5.88,92.07999287
2012-01-28,4.91,4.91,4.91,4.91,0.25
2012-01-29,5.89,5.9,5.3,5.5,9.45484643
2012-01-30,5.3,5.58,5.3,5.58,15.16
2012-01-31,5.7,6.22,3.8,5.3,110.50333334
2012-02-01,5.53,5.99,5.52,5.88,12.058806279999999
2012-02-02,5.99,6.28,5.89,6.28,251.00093001
2012-02-03,6.29,6.35,5.93,6.3,155.5524532
2012-02-04,6.35,6.5,5.94,5.94,67.63499408999999
2012-02-05,5.93,6.15,5.6,5.6,47.85042396
2012-02-06,5.6,5.9,5.2,5.6,29.17833833
2012-02-07,5.5,5.88,5.5,5.69,165.40541896
2012-02-08,5.79,5.87,5.66,5.87,83.57202011
2012-02-09,5.52,5.89,5.51,5.89,83.60318875
2012-02-10,5.88,5.88,5.8,5.88,176.93050375
2012-02-11,5.71,5.71,5.5,5.5,1.8794878
2012-02-12,5.78,5.78,5.55,5.67,64.8434324
2012-02-13,5.53,5.79,5.5,5.79,99.78443902000001
2012-02-14,5.2,5.8,4.56,4.89,128.34493428
2012-02-15,4.9,5.08,4.69,4.69,67.78916535
2012-02-16,4.5,4.98,4.15,4.51,115.6239213
2012-02-17,4.67,4.8,4.5,4.67,244.67028923
2012-02-18,4.67,4.73,4.14,4.23,254.39025200999998
2012-02-19,4.38,4.38,4.3,4.38,92.68354434
2012-02-20,4.72,4.72,4.4,4.44,315.93925361
2012-02-21,4.52,4.58,4.3,4.58,358.44920149
2012-02-22,4.47,4.59,4.46,4.51,75.30876636
2012-02-23,4.59,5.22,4.55,5.22,714.84400933
2012-02-24,5.12,5.22,4.95,4.95,37.59711782
2012-02-25,5.11,5.11,5.0,5.0,119.80740151
2012-02-26,4.79,5.07,4.78,4.98,40.9
2012-02-27,4.97,5.1,4.95,5.04,309.05231411
2012-02-28,5.09,5.1,4.71,4.88,440.24138707000003
2012-02-29,4.97,5.0,4.85,4.99,242.23784635
2012-03-01,4.99,5.05,4.9,5.0,291.16358119
2012-03-02,4.99,4.99,4.64,4.79,245.97471171
2012-03-03,4.81,4.99,4.6,4.65,125.91831513999999
2012-03-04,4.78,4.81,4.77,4.81,113.60841529999999
2012-03-05,4.8,5.06,4.77,5.06,518.05455153
2012-03-06,5.0,5.05,4.95,4.98,296.62794241999995
2012-03-07,5.05,5.09,4.93,4.93,373.49234495
2012-03-08,4.94,5.08,4.87,5.01,326.5657549
2012-03-09,5.01,5.07,4.93,4.93,277.58947934
2012-03-10,4.91,4.99,4.85,4.94,114.04892826
2012-03-11,4.94,5.0,4.84,5.0,24.68252609
2012-03-12,4.85,4.99,4.85,4.99,108.76167997
2012-03-13,4.99,5.32,4.96,5.3,734.65394306
2012-03-14,5.32,5.44,5.27,5.27,1129.74327668
2012-03-15,5.27,5.43,5.27,5.39,633.1678494700001
2012-03-16,5.3,5.41,5.26,5.26,157.69794429
2012-03-17,5.38,5.42,5.38,5.42,143.87332861000002
2012-03-18,5.41,5.42,5.24,5.25,412.66352117
2012-03-19,5.24,5.37,4.83,4.83,415.19375675000003
2012-03-20,4.82,4.97,4.79,4.79,279.75591707
2012-03-21,4.9,4.96,4.9,4.96,9.32862903
2012-03-22,4.86,4.98,4.72,4.91,396.4109947
2012-03-23,4.73,4.89,4.6,4.78,393.13018483999997
2012-03-24,4.72,4.83,4.62,4.83,191.53850932
2012-03-25,4.61,4.84,4.54,4.54,15.473571920000001
2012-03-26,4.6,4.75,4.54,4.73,64.76455997000001
2012-03-27,4.54,4.97,4.54,4.84,369.59079622999997
2012-03-28,4.75,4.95,4.72,4.93,418.64896346
2012-03-29,4.93,4.93,4.77,4.84,110.39370311
2012-03-30,4.81,4.91,4.76,4.88,161.39879423
2012-03-31,4.9,4.92,4.89,4.9,158.37378321
2012-04-01,4.89,4.89,4.77,4.89,308.5058652
2012-04-02,4.8,5.04,4.78,5.04,888.57861157
2012-04-03,5.04,5.04,4.86,4.99,244.30290125
2012-04-04,4.92,5.01,4.86,5.01,305.43564088
2012-04-05,4.99,5.04,4.89,5.0,400.86488523
2012-04-06,4.9,4.99,4.81,4.99,725.95771755
2012-04-07,4.94,4.94,4.7,4.7,228.65562961
2012-04-08,4.8,4.8,4.69,4.76,177.21795867
2012-04-09,4.7,4.85,4.7,4.75,158.55832457
2012-04-10,4.75,4.87,4.75,4.8,314.81763742
2012-04-11,4.86,4.92,4.78,4.92,425.60463177
2012-04-12,4.87,4.93,4.73,4.93,756.7945518299999
2012-04-13,4.88,4.95,4.81,4.93,1102.2658949
2012-04-14,4.94,5.01,4.94,4.96,544.64998903
2012-04-15,4.96,4.99,4.92,4.99,114.97408628
2012-04-16,4.93,4.98,4.93,4.98,487.00754874
2012-04-17,4.99,4.99,4.95,4.98,282.51538718
2012-04-18,4.98,5.18,4.98,5.16,839.9317501
2012-04-19,5.17,5.18,5.06,5.13,562.65170962
2012-04-20,5.15,5.38,5.09,5.38,372.83588987
2012-04-21,5.4,5.43,5.19,5.24,301.94356518
2012-04-22,5.24,5.25,5.17,5.17,139.56864263
2012-04-23,5.2,5.25,5.0,5.0,947.4609743799999
2012-04-24,4.99,5.15,4.98,5.08,1975.83110589
2012-04-25,5.12,5.14,4.86,5.14,1634.21397671
2012-04-26,5.1,5.12,4.86,4.98,762.130218
2012-04-27,5.03,5.08,4.99,5.04,718.01401093
2012-04-28,5.07,5.07,4.85,4.91,205.02552687
2012-04-29,4.92,4.96,4.81,4.91,62.87862749
2012-04-30,4.92,5.02,4.87,5.0,490.58077756
2012-05-01,4.94,5.04,4.86,4.97,831.74622588
2012-05-02,5.01,5.15,5.01,5.06,495.31714339999996
2012-05-03,5.06,5.13,5.05,5.1,645.0894015700001
2012-05-04,5.1,5.15,5.07,5.07,776.04276349
2012-05-05,5.09,5.11,5.04,5.04,415.56904636
2012-05-06,5.06,5.1,5.02,5.08,1234.04605556
2012-05-07,5.05,5.08,4.97,5.05,874.4786445899999
2012-05-08,5.06,5.08,4.99,5.02,640.55868732
2012-05-09,5.02,5.08,5.01,5.02,350.28159466
2012-05-10,5.02,5.04,4.87,4.87,907.11429341
2012-05-11,4.97,4.97,4.87,4.95,413.82665677
2012-05-12,4.95,4.97,4.91,4.91,219.33389116
2012-05-13,4.95,4.95,4.94,4.94,395.46296566
2012-05-14,4.93,4.99,4.88,4.93,718.7291176800001
2012-05-15,4.95,5.01,4.9,4.95,600.99596383
2012-05-16,5.0,5.04,4.98,5.04,178.0332215
2012-05-17,5.02,5.03,5.01,5.02,611.21283218
2012-05-18,5.03,5.07,5.03,5.07,912.52426975
2012-05-19,5.08,5.08,5.05,5.07,168.0059752
